"Date","Price","Open","High","Low","Vol.","Change %"
"May 21","20,020.0","21,000.0","22,340.0","19,500.0","205.83K","-6.36%"
"Apr 21","21,380.0","23,200.0","23,340.0","21,060.0","6.38M","-4.98%"
"Mar 21","22,500.0","22,690.0","24,220.0","21,680.0","7.70M","-5.46%"
"Feb 21","23,800.0","23,080.0","24,460.0","22,600.0","6.40M","3.21%"
"Jan 21","23,060.0","25,950.0","29,250.0","23,020.0","8.37M","-10.27%"
"Dec 20","25,700.0","22,700.0","25,870.0","22,500.0","7.20M","13.22%"
"Nov 20","22,700.0","20,860.0","23,300.0","20,600.0","4.98M","8.82%"
"Oct 20","20,860.0","20,020.0","21,790.0","19,900.0","4.53M","2.36%"
"Sep 20","20,380.0","21,500.0","22,480.0","19,920.0","8.66M","-2.67%"
"Aug 20","20,940.0","19,320.0","22,400.0","18,900.0","5.22M","9.06%"
"Jul 20","19,200.0","18,800.0","20,100.0","18,460.0","10.46M","2.13%"
"Jun 20","18,800.0","19,460.0","19,680.0","18,200.0","8.61M","-4.08%"
"May 20","19,600.0","17,900.0","19,620.0","17,600.0","7.56M","7.69%"
"Apr 20","18,200.0","15,400.0","18,960.0","14,500.0","7.58M","17.57%"
"Mar 20","15,480.0","18,600.0","18,960.0","11,000.0","16.40M","-16.77%"
"Feb 20","18,600.0","19,300.0","19,500.0","18,220.0","8.83M","-1.06%"
"Jan 20","18,800.0","19,600.0","20,480.0","18,800.0","5.64M","-4.08%"
"Dec 19","19,600.0","18,960.0","19,900.0","18,000.0","5.97M","3.27%"
"Nov 19","18,980.0","19,360.0","20,580.0","17,900.0","6.66M","-2.67%"
"Oct 19","19,500.0","18,300.0","20,880.0","18,020.0","6.43M","6.91%"
"Sep 19","18,240.0","18,180.0","20,100.0","18,180.0","7.92M","0.33%"
"Aug 19","18,180.0","17,720.0","18,280.0","16,020.0","9.60M","2.13%"
"Jul 19","17,800.0","17,620.0","20,500.0","17,620.0","10.61M","-0.34%"
"Jun 19","17,860.0","16,200.0","19,700.0","16,200.0","12.68M","10.25%"
"May 19","16,200.0","15,980.0","16,200.0","15,420.0","21.53M","2.40%"
"Apr 19","15,820.0","16,000.0","16,480.0","15,300.0","6.33M","-0.88%"
"Mar 19","15,960.0","13,980.0","17,460.0","13,960.0","11.37M","14.16%"
"Feb 19","13,980.0","13,940.0","14,140.0","13,800.0","9.32M","0.43%"
"Jan 19","13,920.0","13,800.0","14,660.0","13,740.0","10.40M","-0.43%"
"Dec 18","13,980.0","13,200.0","14,300.0","12,680.0","6.59M","8.04%"
"Nov 18","12,940.0","12,000.0","13,680.0","12,000.0","5.23M","8.19%"
"Oct 18","11,960.0","13,380.0","13,900.0","11,600.0","4.79M","-10.61%"
"Sep 18","13,380.0","13,400.0","13,640.0","12,720.0","6.89M","-1.04%"
"Aug 18","13,520.0","13,980.0","14,040.0","13,400.0","6.78M","-4.79%"
"Jul 18","14,200.0","14,680.0","14,680.0","13,800.0","4.37M","-2.07%"
"Jun 18","14,500.0","14,180.0","14,820.0","13,620.0","11.24M","2.40%"
"May 18","14,160.0","14,480.0","14,500.0","13,600.0","10.17M","-2.21%"
"Apr 18","14,480.0","13,380.0","15,200.0","13,200.0","9.59M","8.71%"
"Mar 18","13,320.0","13,700.0","13,800.0","12,620.0","6.08M","-2.77%"
"Feb 18","13,700.0","14,300.0","14,820.0","13,200.0","7.48M","-4.20%"
"Jan 18","14,300.0","14,040.0","14,700.0","13,960.0","6.10M","0.70%"
"Dec 17","14,200.0","13,660.0","14,400.0","13,600.0","6.39M","2.90%"
"Nov 17","13,800.0","13,600.0","13,920.0","13,120.0","6.60M","3.60%"
"Oct 17","13,320.0","13,660.0","13,960.0","13,140.0","7.26M","-2.63%"
"Sep 17","13,680.0","13,340.0","13,900.0","13,320.0","5.70M","2.40%"
"Aug 17","13,360.0","13,680.0","13,680.0","12,940.0","5.54M","-2.34%"
"Jul 17","13,680.0","13,320.0","13,740.0","13,000.0","6.45M","2.55%"
"Jun 17","13,340.0","14,000.0","14,180.0","13,060.0","9.39M","-5.39%"
"May 17","14,100.0","11,540.0","14,100.0","11,540.0","21.35M","20.93%"
"Apr 17","11,660.0","11,480.0","11,700.0","11,320.0","8.52M","0.52%"
"Mar 17","11,600.0","11,200.0","11,740.0","11,040.0","8.36M","3.57%"
"Feb 17","11,200.0","10,420.0","11,300.0","10,420.0","9.81M","6.06%"
"Jan 17","10,560.0","10,000.0","10,560.0","9,890.0","7.14M","5.81%"
"Dec 16","9,980.0","9,900.0","10,340.0","9,800.0","7.05M","0.81%"
"Nov 16","9,900.0","10,000.0","10,360.0","9,590.0","6.33M","-0.90%"
"Oct 16","9,990.0","9,640.0","10,040.0","9,520.0","4.22M","2.46%"
"Sep 16","9,750.0","9,760.0","10,220.0","9,510.0","6.50M","-1.52%"
"Aug 16","9,900.0","9,130.0","9,940.0","9,060.0","7.39M","8.91%"
"Jul 16","9,090.0","8,900.0","9,200.0","8,740.0","7.81M","1.68%"
"Jun 16","8,940.0","8,800.0","8,940.0","8,590.0","6.37M","1.59%"
"May 16","8,800.0","8,700.0","8,960.0","8,340.0","11.87M","1.15%"
"Apr 16","8,700.0","8,650.0","8,890.0","8,280.0","15.25M","0.58%"
"Mar 16","8,650.0","7,950.0","8,800.0","7,840.0","9.30M","11.61%"
"Feb 16","7,750.0","7,210.0","8,000.0","7,210.0","7.59M","5.30%"
"Jan 16","7,360.0","6,960.0","7,420.0","6,800.0","12.16M","-0.27%"
"Dec 15","7,380.0","6,770.0","7,380.0","6,160.0","4.65M","8.53%"
"Nov 15","6,800.0","6,830.0","7,300.0","6,270.0","6.48M","-2.02%"
"Oct 15","6,940.0","6,980.0","7,360.0","6,500.0","4.97M","-2.94%"
"Sep 15","7,150.0","6,300.0","7,290.0","6,300.0","11.27M","7.68%"
"Aug 15","6,640.0","7,060.0","7,210.0","5,260.0","4.76M","-6.21%"
"Jul 15","7,080.0","7,350.0","7,500.0","6,760.0","6.80M","-3.67%"
"Jun 15","7,350.0","8,200.0","8,200.0","7,210.0","6.37M","-10.26%"
"May 15","8,190.0","8,100.0","8,400.0","7,750.0","6.33M","2.38%"
"Apr 15","8,000.0","7,470.0","8,540.0","7,470.0","5.04M","7.67%"
"Mar 15","7,430.0","7,760.0","7,820.0","7,230.0","4.67M","-4.87%"
"Feb 15","7,810.0","7,700.0","8,180.0","7,570.0","5.22M","4.13%"
"Jan 15","7,500.0","8,600.0","8,600.0","7,460.0","3.94M","-13.09%"
"Dec 14","8,630.0","8,110.0","8,990.0","7,190.0","4.04M","5.24%"
"Nov 14","8,200.0","8,900.0","9,120.0","7,920.0","3.64M","-6.82%"
"Oct 14","8,800.0","9,270.0","9,380.0","8,170.0","5.05M","-4.97%"
"Sep 14","9,260.0","9,700.0","9,820.0","9,070.0","5.04M","-4.54%"
"Aug 14","9,700.0","9,230.0","9,700.0","9,110.0","7.50M","5.09%"
"Jul 14","9,230.0","9,160.0","9,350.0","8,910.0","7.08M","0.65%"
"Jun 14","9,170.0","9,050.0","9,570.0","9,040.0","4.03M","1.89%"
"May 14","9,000.0","9,010.0","9,750.0","8,850.0","7.65M","-0.88%"
"Apr 14","9,080.0","8,790.0","9,200.0","8,730.0","8.77M","3.30%"
"Mar 14","8,790.0","7,520.0","8,800.0","7,420.0","8.10M","15.66%"
"Feb 14","7,600.0","7,520.0","7,970.0","7,330.0","7.76M","2.43%"
"Jan 14","7,420.0","9,050.0","9,100.0","7,420.0","4.32M","-18.46%"
"Dec 13","9,100.0","8,710.0","9,210.0","8,570.0","4.58M","5.57%"
"Nov 13","8,620.0","9,380.0","9,480.0","8,540.0","5.14M","-7.91%"
"Oct 13","9,360.0","9,470.0","9,680.0","9,250.0","5.27M","-0.95%"
"Sep 13","9,450.0","9,190.0","9,800.0","9,190.0","7.23M","2.27%"
"Aug 13","9,240.0","8,140.0","9,400.0","8,140.0","8.12M","14.93%"
"Jul 13","8,040.0","7,410.0","8,650.0","7,370.0","9.59M","6.21%"
"Jun 13","7,570.0","8,010.0","8,120.0","7,200.0","7.10M","-4.66%"
"May 13","7,940.0","8,280.0","8,650.0","7,920.0","6.67M","-5.48%"
"Apr 13","8,400.0","9,000.0","9,000.0","8,280.0","7.10M","-6.67%"
"Mar 13","9,000.0","9,800.0","9,800.0","8,830.0","2.97M","-8.16%"
"Feb 13","9,800.0","10,100.0","10,200.0","9,740.0","5.39M","-1.90%"
"Jan 13","9,990.0","9,600.0","10,340.0","9,330.0","5.77M","4.06%"
"Dec 12","9,600.0","9,300.0","9,900.0","9,080.0","4.77M","1.05%"
"Nov 12","9,500.0","9,800.0","9,860.0","8,220.0","8.19M","-4.23%"
"Oct 12","9,920.0","9,580.0","10,100.0","9,100.0","12.51M","4.20%"
"Sep 12","9,520.0","10,900.0","10,900.0","8,700.0","15.42M","-13.14%"
"Aug 12","10,960.0","11,300.0","11,500.0","10,600.0","5.92M","-3.86%"
"Jul 12","11,400.0","11,260.0","11,860.0","11,120.0","4.26M","-1.72%"
"Jun 12","11,600.0","11,060.0","11,600.0","10,560.0","5.12M","1.58%"
"May 12","11,420.0","11,340.0","11,920.0","10,900.0","4.67M","0.18%"
"Apr 12","11,400.0","11,300.0","11,400.0","10,960.0","2.60M","0.88%"
"Mar 12","11,300.0","11,180.0","11,500.0","10,960.0","4.48M","-0.88%"
"Feb 12","11,400.0","10,940.0","11,540.0","10,800.0","4.68M","1.60%"
"Jan 12","11,220.0","11,060.0","11,500.0","10,580.0","4.34M","0.18%"
"Dec 11","11,200.0","10,540.0","11,880.0","10,520.0","4.27M","6.46%"
"Nov 11","10,520.0","11,740.0","11,940.0","10,100.0","4.35M","-11.60%"
"Oct 11","11,900.0","11,700.0","11,980.0","11,000.0","3.54M","2.59%"
"Sep 11","11,600.0","12,000.0","12,400.0","11,600.0","4.21M","-4.92%"
"Aug 11","12,200.0","12,240.0","12,400.0","11,040.0","4.80M","-0.33%"
"Jul 11","12,240.0","12,640.0","12,860.0","11,500.0","3.32M","-4.82%"
"Jun 11","12,860.0","13,040.0","13,100.0","12,520.0","4.38M","-1.38%"
"May 11","13,040.0","12,520.0","13,040.0","11,920.0","5.58M","3.99%"
"Apr 11","12,540.0","12,560.0","12,740.0","12,000.0","2.47M","-1.42%"
"Mar 11","12,720.0","12,760.0","13,100.0","11,920.0","4.01M","-0.47%"
"Feb 11","12,780.0","13,260.0","13,380.0","12,100.0","4.74M","-3.18%"
"Jan 11","13,200.0","14,100.0","14,100.0","13,200.0","2.70M","-6.38%"
"Dec 10","14,100.0","13,500.0","14,640.0","13,460.0","7.87M","4.44%"
"Nov 10","13,500.0","14,700.0","14,700.0","12,140.0","7.63M","-7.53%"
"Oct 10","14,600.0","14,000.0","14,980.0","13,960.0","8.18M","3.55%"
"Sep 10","14,100.0","12,980.0","14,220.0","12,900.0","11.86M","8.80%"
"Aug 10","12,960.0","13,000.0","13,080.0","12,400.0","6.83M","-0.92%"
"Jul 10","13,080.0","12,800.0","13,120.0","12,600.0","6.83M","2.19%"
"Jun 10","12,800.0","12,640.0","12,940.0","12,480.0","5.37M","0.63%"
"May 10","12,720.0","13,000.0","13,160.0","11,860.0","5.45M","-2.00%"
"Apr 10","12,980.0","12,820.0","13,180.0","12,740.0","5.30M","1.41%"
"Mar 10","12,800.0","12,800.0","12,900.0","12,580.0","4.94M","-0.62%"
"Feb 10","12,880.0","12,500.0","12,980.0","12,140.0","7.97M","1.58%"
"Jan 10","12,680.0","13,020.0","13,020.0","12,100.0","4.99M","-2.31%"
"Dec 09","12,980.0","11,540.0","13,100.0","11,520.0","13.39M","13.66%"
"Nov 09","11,420.0","11,620.0","12,000.0","11,300.0","6.98M","-1.72%"
"Oct 09","11,620.0","12,180.0","13,260.0","11,620.0","5.39M","-4.75%"
"Sep 09","12,200.0","11,340.0","12,420.0","10,560.0","7.82M","7.96%"
"Aug 09","11,300.0","10,200.0","11,920.0","9,900.0","5.13M","8.65%"
"Jul 09","10,400.0","9,120.0","10,500.0","9,040.0","8.30M","13.91%"
"Jun 09","9,130.0","8,780.0","9,130.0","8,710.0","4.29M","4.94%"
"May 09","8,700.0","8,200.0","8,750.0","8,200.0","4.00M","6.75%"
"Apr 09","8,150.0","7,440.0","8,400.0","7,400.0","5.56M","9.54%"
"Mar 09","7,440.0","7,250.0","7,500.0","7,160.0","3.94M","1.92%"
"Feb 09","7,300.0","7,390.0","7,450.0","7,140.0","6.79M","-1.88%"
"Jan 09","7,440.0","7,050.0","7,510.0","7,050.0","4.41M","4.79%"
"Dec 08","7,100.0","6,910.0","7,440.0","6,910.0","6.11M","-0.84%"
"Nov 08","7,160.0","6,920.0","7,210.0","6,320.0","3.68M","4.99%"
"Oct 08","6,820.0","7,700.0","7,720.0","5,400.0","7.27M","-11.77%"
"Sep 08","7,730.0","7,850.0","8,000.0","7,420.0","5.61M","-1.02%"
"Aug 08","7,810.0","7,550.0","7,940.0","7,290.0","4.60M","3.44%"
"Jul 08","7,550.0","7,710.0","7,740.0","7,330.0","3.78M","-1.82%"
"Jun 08","7,690.0","7,750.0","7,850.0","7,600.0","5.21M","-2.66%"
"May 08","7,900.0","7,810.0","7,960.0","7,080.0","6.75M","1.41%"
"Apr 08","7,790.0","7,040.0","7,800.0","7,040.0","14.36M","10.65%"
"Mar 08","7,040.0","6,900.0","7,100.0","6,600.0","5.75M","0.57%"
"Feb 08","7,000.0","6,700.0","7,140.0","6,100.0","7.89M","2.34%"
"Jan 08","6,840.0","7,030.0","7,140.0","5,330.0","16.73M","-3.66%"